company_name,website,tier
Anthropic,https://anthropic.com,1
OpenAI,https://openai.com,1
Databricks,https://databricks.com,1
Stripe,https://stripe.com,1
Ramp,https://ramp.com,1
Harvey,https://harvey.ai,1
Palantir,https://palantir.com,1
Decagon,https://decagon.ai,1
Sierra,https://sierra.ai,1
Cursor,https://cursor.com,1
Clay,https://clay.com,1
Runway,https://runwayml.com,1
Reflection AI,https://reflection.ai,1
Glean,https://glean.com,1
Coreweave,https://coreweave.com,1
Mistral AI,https://mistral.ai,1
Perplexity,https://perplexity.ai,2
Plaid,https://plaid.com,2
Cohere,https://cohere.com,2
Linear,https://linear.app,2
Notion,https://notion.so,2
Figma,https://figma.com,2
Vercel,https://vercel.com,2
Mercury,https://mercury.com,2
Brex,https://brex.com,2
Addepar,https://addepar.com,2
Carta,https://carta.com,2
Vanta,https://vanta.com,2
ElevenLabs,https://elevenlabs.io,2
Scale AI,https://scale.com,2
Spotify,https://spotify.com,2
EliseAI,https://eliseai.com,2
Baseten,https://baseten.co,2
Gamma,https://gamma.app,2
Lovable,https://lovable.dev,2
Intercom,https://intercom.com,2
Amplitude,https://amplitude.com,2
Mixpanel,https://mixpanel.com,2
Retool,https://retool.com,2
Airtable,https://airtable.com,2
Rippling,https://rippling.com,2
Deel,https://deel.com,2
Narvar,https://narvar.com,2
Ro,https://ro.co,2
Oscar Health,https://hioscar.com,2
Navan,https://navan.com,2
Ironclad,https://ironcladapp.com,2
Workato,https://workato.com,2
Writer,https://writer.com,2
Cohere,https://cohere.com,2
Weights & Biases,https://wandb.ai,2
Hugging Face,https://huggingface.co,2
Modal,https://modal.com,2
Replit,https://replit.com,2
Klaviyo,https://klaviyo.com,3
Attentive,https://attentive.com,3
Justworks,https://justworks.com,3
Rokt,https://rokt.com,3
Listen Labs,https://listenlabs.ai,3
Cedar,https://cedar.com,3
Dandy,https://dandy.com,3
BetterUp,https://betterup.com,3
Hinge Health,https://hingehealth.com,3